CODI_CAPA;CAPA_GENERICA;NOM_CAPA;ED50_COORD_X;ED50_COORD_Y;ETRS89_COORD_X;ETRS89_COORD_Y;LONGITUD;LATITUD;EQUIPAMENT;DISTRICTE;BARRI;NOM_DISTRICTE;NOM_BARRI;ADRECA;TELEFON
P001;Internet i comunicacions         ;WiFi BCN                                        ;429658.03;4582749.0;429566.12;4582548.0;2.157514;41.39138;Punt de connexió Barcelona WiFi a la cruïlla del carrer d'Enric Granados amb carrer Provença;2;8;Eixample;l'Antiga Esquerra de l'Eixample;C Enric Granados, 77;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431871.9;4582982.0;431779.94;4582781.0;2.183966;41.39367;Centre Esportiu Municipal Estació del Nord;2;5;Eixample;el Fort Pienc;C Nàpols, 42;932650286
P001;Internet i comunicacions         ;WiFi BCN                                        ;429006.4;4582297.0;428914.5;4582096.0;2.149774;41.387253;Punt de connexió Barcelona WiFi a la cruïlla dels carrers Comte Borrell amb carrer Rosselló;2;9;Eixample;la Nova Esquerra de l'Eixample;C Comte Borrell, 244;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431881.03;4581917.0;431789.1;4581716.0;2.184195;41.38408;Punt de connexió Barcelona WiFi a la cruïlla de l'Avinguda Marquès d'Argentera amb Pescateria;1;4;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;C Pescateria, 9;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431031.06;4581510.0;430939.12;4581309.0;2.174077;41.38034;Punt de connexió Barcelona WiFi a la cruïlla de La Rambla amb el carrer Ferran;1;2;Ciutat Vella;el Barri Gòtic;C la Rambla, 62;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;426689.22;4583041.5;426597.3;4582840.5;2.121972;41.39375;Jardins de Vil·la Cecília;5;23;Sarrià-Sant Gervasi;Sarrià;Santa Amèlia, 1;10
P001;Internet i comunicacions         ;WiFi BCN                                        ;431195.4;4582705.0;431103.47;4582504.0;2.175906;41.391117;Punt de connexió Barcelona WiFi a la cruïlla del carrer Girona amb carrer c. d'Ausiàs Marc;2;7;Eixample;la Dreta de l'Eixample;C Girona, 11;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;427075.12;4582119.0;426983.22;4581918.0;2.126699;41.385475;Punt de connexió Barcelona WiFi al carrer Sabino de Arana;4;20;Les Corts;la Maternitat i Sant Ramon;C Sabino Arana, 1;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431589.78;4586504.0;431497.8;4586303.0;2.180193;41.42537;Punt de connexió Barcelona WiFi a la cruïlla del carrer Felip II amb la Plaça del Doctor Modrego;9;62;Sant Andreu;el Congrés i els Indians;Pl Doctor Modrego, 3;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;429697.8;4583705.5;429605.88;4583504.5;2.157879;41.4;Oficina d'Atenció Ciutadana del Districte de Gràcia;6;31;Gràcia;la Vila de Gràcia;Pl Vila de Gràcia, 2;10
P001;Internet i comunicacions         ;WiFi BCN                                        ;425631.7;4582032.5;425539.78;4581832.0;2.109447;41.384567;Parc de Cervantes-Roserar;4;21;Les Corts;Pedralbes;Av Diagonal, 706;10
P001;Internet i comunicacions         ;WiFi BCN                                        ;429018.03;4582861.0;428926.12;4582660.0;2.149847;41.392334;Punt de connexió Barcelona WiFi a la cruïlla del carrer Casanova amb carrer Londres;2;8;Eixample;l'Antiga Esquerra de l'Eixample;C Casanova, 226;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;430521.6;4583095.5;430429.66;4582894.5;2.167803;41.39458;Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb carrer Roger de Llúria;2;7;Eixample;la Dreta de l'Eixample;C Aragó, 299;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;429308.56;4583522.0;429216.62;4583321.0;2.153244;41.398315;Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta amb Travessera de Gràcia;5;26;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;Via Augusta, 57;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431075.16;4584729.0;430983.22;4584528.0;2.174237;41.409336;Punt de connexió Barcelona WiFi a la cruïlla de l'Avinguda Gaudí amb el carrer Indústria;2;6;Eixample;la Sagrada Família;C Indústria, 155;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431278.62;4582980.0;431186.7;4582779.0;2.17687;41.393604;Punt de connexió Barcelona WiFi a la cruïlla del Pg de Sant Joan amb el carrer Casp;2;7;Eixample;la Dreta de l'Eixample;Pg Sant Joan, 37;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;428978.25;4581906.5;428886.34;4581705.5;2.149483;41.383736;Punt de connexió Barcelona WiFi a la cruïlla dels carrers Calàbria amb Mallorca;2;9;Eixample;la Nova Esquerra de l'Eixample;C Calàbria, 189;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431270.28;4584350.0;431178.34;4584149.0;2.176615;41.40594;Espai de Gent Gran Sagrada Família;2;6;Eixample;la Sagrada Família;C Mallorca, 425*433;932562831
P001;Internet i comunicacions         ;WiFi BCN                                        ;430107.0;4584779.5;430015.06;4584578.5;2.162649;41.409706;Punt de connexió Barcelona WiFi a la cruïlla del carrer Secretari Coloma amb carrer Providència;6;32;Gràcia;el Camp d'en Grassot i Gràcia Nova;C Secretari Coloma, 77;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;429563.88;4582846.5;429471.97;4582645.5;2.156377;41.392254;Punt de connexió Barcelona WiFi a la cruïlla del carrer d'Enric Granados amb carrer Rosselló;2;8;Eixample;l'Antiga Esquerra de l'Eixample;C Enric Granados, 93;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;428865.06;4582570.0;428773.12;4582369.0;2.148051;41.3897;Punt de connexió Barcelona WiFi a la cruïlla dels carrers Comte d'Urgell amb París;2;9;Eixample;la Nova Esquerra de l'Eixample;C París, 113;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;428707.22;4580995.0;428615.3;4580794.0;2.146349;41.3755;Punt de connexió Barcelona WiFi a la cruïlla del carrer de Béjar amb carrer de la Creu Coberta;3;15;Sants-Montjuïc;Hostafrancs;C Béjar, 1;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;426658.12;4583725.0;426566.22;4583524.0;2.121517;41.399906;Punt de connexió Barcelona WiFi a la cruïlla del Pg. Reina Elisenda de Montcada amb la Plaça Sarrià;5;23;Sarrià-Sant Gervasi;Sarrià;Pl Sarrià, 11;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;426771.97;4583876.0;426680.06;4583675.0;2.12286;41.401276;Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta amb Pg. de la Bonanova;5;23;Sarrià-Sant Gervasi;Sarrià;Via Augusta, 354;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431946.3;4585590.0;431854.38;4585389.0;2.184562;41.417168;Punt de connexió Barcelona WiFi a la cruïlla del carrer Indústria amb el carrer Navas de Tolosa;10;64;Sant Martí;el Camp de l'Arpa del Clot;C Navas de Tolosa, 343;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;429256.44;4582585.5;429164.53;4582384.5;2.15273;41.389874;Punt de connexió Barcelona WiFi a la cruïlla del carrer Casanova amb carrer Rosselló;2;8;Eixample;l'Antiga Esquerra de l'Eixample;C Casanova, 145;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;433176.3;4584094.5;433084.34;4583893.5;2.199444;41.403797;Punt de connexió Barcelona WiFi al  Marià Aguilo cruïlla Camí Antic de València;10;68;Sant Martí;el Poblenou;C Marià Aguiló, 15;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;429843.34;4582176.5;429751.4;4581975.5;2.159797;41.386242;Punt de connexió Barcelona WiFi a la cruïlla del carrer Muntaner amb carrer Consell de Cent;2;8;Eixample;l'Antiga Esquerra de l'Eixample;C Muntaner, 57;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431115.25;4585540.0;431023.3;4585339.0;2.174625;41.416645;Punt de connexió Barcelona WiFi a la cruïlla de la Ronda del Guinardó amb el carrer San Quintí;7;35;Horta-Guinardó;el Guinardó;Rda Guinardó, 118;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;425739.47;4583854.5;425647.6;4583653.5;2.110513;41.400986;Centre Esportiu Municipal Can Caralleu;5;23;Sarrià-Sant Gervasi;Sarrià;C Esports, 2*8;932037874
P001;Internet i comunicacions         ;WiFi BCN                                        ;431977.66;4583547.5;431885.7;4583346.5;2.185167;41.398773;L'Auditori de Barcelona;2;5;Eixample;el Fort Pienc;C Lepant, 150;932479300
P001;Internet i comunicacions         ;WiFi BCN                                        ;430076.38;4585060.0;429984.44;4584859.0;2.16225;41.41223;Centre Esportiu Municipal Sardenya;6;32;Gràcia;el Camp d'en Grassot i Gràcia Nova;C Sardenya, 549*553;932100766
P001;Internet i comunicacions         ;WiFi BCN                                        ;431737.16;4583056.0;431645.22;4582855.0;2.182346;41.394325;Estació d'Autobusos Barcelona Nord;2;5;Eixample;el Fort Pienc;C Alí Bei, 80;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;430183.66;4582404.5;430091.72;4582203.5;2.16384;41.388325;Punt de connexió Barcelona WiFi a la cruïlla del carrer Balmes amb Diputació;2;7;Eixample;la Dreta de l'Eixample;C Balmes, 32;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431385.06;4583888.5;431293.12;4583687.5;2.17804;41.40179;Punt de connexió Barcelona WiFi a la cruïlla del carrer Marina amb Aragó;2;6;Eixample;la Sagrada Família;C Aragó, 435;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;429382.1;4582296.0;429290.16;4582095.0;2.154267;41.38728;Punt de connexió Barcelona WiFi a la cruïlla del carrer Villaroel amb carrer Mallorca;2;8;Eixample;l'Antiga Esquerra de l'Eixample;C Villarroel, 148;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;432875.38;4584052.5;432783.4;4583851.5;2.195849;41.403397;Punt de connexió Barcelona WiFi a la cruïlla del carrer Llacuna amb Sancho de Àvila;10;68;Sant Martí;el Poblenou;C Llacuna, 106;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;429150.38;4581154.5;429058.44;4580953.5;2.151629;41.37698;Punt de connexió Barcelona WiFi a la cruïlla del c. Vilamarí amb la Gran Via de les Corts Catalanes;2;9;Eixample;la Nova Esquerra de l'Eixample;G.V. Corts Catalanes, 403;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;430717.53;4585162.5;430625.6;4584961.5;2.169909;41.41321;Punt de connexió Barcelona WiFi a la cruïlla de la Ronda del Guinardó amb Castillejos;7;33;Horta-Guinardó;el Baix Guinardó;Rda Guinardó, 74;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;431058.03;4581427.0;430966.1;4581226.5;2.174409;41.379597;Unitat Territorial de la Guàrdia Urbana del Districte de Ciutat Vella;1;1;Ciutat Vella;el Raval;C la Rambla, 43;92
P001;Internet i comunicacions         ;WiFi BCN                                        ;428198.88;4585945.0;428106.97;4585744.0;2.139683;41.42004;Biblioteca Vallcarca i els Penitents - Maria Antonieta Cot i Miralpeix;6;28;Gràcia;Vallcarca i els Penitents;Pg Vall d'Hebron, 65*69;932112351
P001;Internet i comunicacions         ;WiFi BCN                                        ;433254.12;4583884.0;433162.16;4583683.0;2.200399;41.401913;Punt de connexió Barcelona WiFi a la cruïlla de la Rambla del Poblenou amb el carrer Pujades;10;68;Sant Martí;el Poblenou;Rbla Poblenou, 88;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;433958.2;4584310.5;433866.22;4584109.5;2.208774;41.40581;Punt de connexió Barcelona WiFi a la cruïlla del carrer Fluvià amb Llull;10;69;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;C Fluvià, 50;null
P001;Internet i comunicacions         ;WiFi BCN                                        ;430245.4;4582595.5;430153.5;4582394.5;2.164557;41.39005;Punt de connexió Barcelona WiFi a la cruïlla del carrer Comte Borrell amb Manso;2;10;Eixample;Sant Antoni;C Comte Borrell, 61;null
